级别,单词/短语,词性,中文释义,主题分类
L1 启蒙星,boy,n.,男孩,人物
L1 启蒙星,girl,n.,女孩,人物
L1 启蒙星,friend,n.,朋友,人物
L1 启蒙星,people,n.,人们,人物
L1 启蒙星,child,n.,孩子,人物
L1 启蒙星,man,n.,男人,人物
L1 启蒙星,woman,n.,女人,人物
L1 启蒙星,person,n.,人,人物
L1 启蒙星,I,pron.,我,代词
L1 启蒙星,you,pron.,你,代词
L1 启蒙星,he,pron.,他,代词
L1 启蒙星,she,pron.,她,代词
L1 启蒙星,it,pron.,它,代词
L1 启蒙星,we,pron.,我们,代词
L1 启蒙星,they,pron.,他们,代词
L1 启蒙星,my,pron.,我的,代词
L1 启蒙星,your,pron.,你的,代词
L1 启蒙星,this,pron.,这个,代词
L1 启蒙星,that,pron.,那个,代词
L1 启蒙星,what,pron.,什么,代词
L1 启蒙星,every,adj.,每个,代词
L1 启蒙星,some,adj.,一些,代词
L1 启蒙星,any,adj.,任何,代词
L1 启蒙星,many,adj.,许多,代词
L1 启蒙星,much,adj.,很多,代词
L1 启蒙星,all,adj.,全部,代词
L1 启蒙星,other,adj.,其他,代词
L1 启蒙星,another,adj.,另一个,代词
L1 启蒙星,each,adj.,每个,代词
L1 启蒙星,both,adj.,两者,代词
L1 启蒙星,the,art.,这/那,冠词
L1 启蒙星,a,art.,一个,冠词
L1 启蒙星,an,art.,一个,冠词
L1 启蒙星,name,n.,名字,基础词
L1 启蒙星,yes,adv.,是,基础词
L1 启蒙星,no,adv.,不,基础词
L1 启蒙星,not,adv.,不,基础词
L1 启蒙星,color,n.,颜色,基础词
L1 启蒙星,number,n.,数字,基础词
L1 启蒙星,size,n.,大小,基础词
L1 启蒙星,kind,n.,种类,基础词
L1 启蒙星,part,n.,部分,基础词
L1 启蒙星,place,n.,地方,基础词
L1 启蒙星,side,n.,边,基础词
L1 启蒙星,way,n.,路,基础词
L1 启蒙星,world,n.,世界,基础词
L1 启蒙星,country,n.,国家,基础词
L1 启蒙星,city,n.,城市,基础词
L1 启蒙星,road,n.,路,基础词
L1 启蒙星,mom,n.,妈妈,家庭
L1 启蒙星,dad,n.,爸爸,家庭
L1 启蒙星,mother,n.,母亲,家庭
L1 启蒙星,father,n.,父亲,家庭
L1 启蒙星,brother,n.,兄弟,家庭
L1 启蒙星,sister,n.,姐妹,家庭
L1 启蒙星,family,n.,家庭,家庭
L1 启蒙星,daughter,n.,女儿,家庭
L1 启蒙星,son,n.,儿子,家庭
L1 启蒙星,one,num.,一,数字
L1 启蒙星,two,num.,二,数字
L1 启蒙星,three,num.,三,数字
L1 启蒙星,four,num.,四,数字
L1 启蒙星,five,num.,五,数字
L1 启蒙星,six,num.,六,数字
L1 启蒙星,seven,num.,七,数字
L1 启蒙星,eight,num.,八,数字
L1 启蒙星,nine,num.,九,数字
L1 启蒙星,ten,num.,十,数字
L1 启蒙星,eleven,num.,十一,数字
L1 启蒙星,twelve,num.,十二,数字
L1 启蒙星,please,adv.,请,礼貌用语
L1 启蒙星,thank,v.,感谢,礼貌用语
L1 启蒙星,eye,n.,眼睛,身体部位
L1 启蒙星,ear,n.,耳朵,身体部位
L1 启蒙星,nose,n.,鼻子,身体部位
L1 启蒙星,mouth,n.,嘴巴,身体部位
L1 启蒙星,face,n.,脸,身体部位
L1 启蒙星,head,n.,头,身体部位
L1 启蒙星,hand,n.,手,身体部位
L1 启蒙星,arm,n.,手臂,身体部位
L1 启蒙星,foot,n.,脚,身体部位
L1 启蒙星,leg,n.,腿,身体部位
L1 启蒙星,hair,n.,头发,身体部位
L1 启蒙星,body,n.,身体,身体部位
L1 启蒙星,hello,int.,你好,问候
L1 启蒙星,bye,int.,再见,问候
L1 启蒙星,red,adj.,红色,颜色
L1 启蒙星,blue,adj.,蓝色,颜色
L1 启蒙星,green,adj.,绿色,颜色
L1 启蒙星,yellow,adj.,黄色,颜色
L1 启蒙星,black,adj.,黑色,颜色
L1 启蒙星,white,adj.,白色,颜色
L1 启蒙星,brown,adj.,棕色,颜色
L1 启蒙星,orange,adj.,橙色,颜色
L1 启蒙星,pink,adj.,粉色,颜色
L2 探索星,cat,n.,猫,动物
L2 探索星,dog,n.,狗,动物
L2 探索星,fish,n.,鱼,动物
L2 探索星,bird,n.,鸟,动物
L2 探索星,animal,n.,动物,动物
L2 探索星,lion,n.,狮子,动物
L2 探索星,monkey,n.,猴子,动物
L2 探索星,elephant,n.,大象,动物
L2 探索星,rabbit,n.,兔子,动物
L2 探索星,bear,n.,熊,动物
L2 探索星,horse,n.,马,动物
L2 探索星,pig,n.,猪,动物
L2 探索星,chicken,n.,鸡,动物
L2 探索星,duck,n.,鸭子,动物
L2 探索星,cow,n.,奶牛,动物
L2 探索星,sheep,n.,羊,动物
L2 探索星,tiger,n.,老虎,动物
L2 探索星,panda,n.,熊猫,动物
L2 探索星,mouse,n.,老鼠,动物
L2 探索星,square,n.,正方形,形状
L2 探索星,circle,n.,圆形,形状
L2 探索星,triangle,n.,三角形,形状
L2 探索星,apple,n.,苹果,水果
L2 探索星,banana,n.,香蕉,水果
L2 探索星,grape,n.,葡萄,水果
L2 探索星,strawberry,n.,草莓,水果
L2 探索星,watermelon,n.,西瓜,水果
L2 探索星,lemon,n.,柠檬,水果
L2 探索星,pear,n.,梨,水果
L2 探索星,peach,n.,桃子,水果
L2 探索星,tomato,n.,番茄,蔬菜
L2 探索星,potato,n.,土豆,蔬菜
L2 探索星,carrot,n.,胡萝卜,蔬菜
L2 探索星,onion,n.,洋葱,蔬菜
L2 探索星,shirt,n.,衬衫,衣物
L2 探索星,shoes,n.,鞋子,衣物
L2 探索星,hat,n.,帽子,衣物
L2 探索星,dress,n.,裙子,衣物
L2 探索星,coat,n.,外套,衣物
L2 探索星,pocket,n.,口袋,衣物
L2 探索星,water,n.,水,食物饮品
L2 探索星,milk,n.,牛奶,食物饮品
L2 探索星,juice,n.,果汁,食物饮品
L2 探索星,rice,n.,米饭,食物饮品
L2 探索星,bread,n.,面包,食物饮品
L2 探索星,egg,n.,鸡蛋,食物饮品
L2 探索星,food,n.,食物,食物饮品
L2 探索星,meat,n.,肉,食物饮品
L2 探索星,cake,n.,蛋糕,食物饮品
L2 探索星,candy,n.,糖果,食物饮品
L2 探索星,ice cream,n.,冰淇淋,食物饮品
L2 探索星,noodle,n.,面条,食物饮品
L2 探索星,soup,n.,汤,食物饮品
L2 探索星,tea,n.,茶,食物饮品
L2 探索星,coffee,n.,咖啡,食物饮品
L2 探索星,sugar,n.,糖,食物饮品
L2 探索星,salt,n.,盐,食物饮品
L3 进步星,car,n.,汽车,交通
L3 进步星,bus,n.,公交车,交通
L3 进步星,train,n.,火车,交通
L3 进步星,plane,n.,飞机,交通
L3 进步星,boat,n.,船,交通
L3 进步星,bike,n.,自行车,交通
L3 进步星,taxi,n.,出租车,交通
L3 进步星,truck,n.,卡车,交通
L3 进步星,is,v.,是,动词
L3 进步星,am,v.,是,动词
L3 进步星,are,v.,是,动词
L3 进步星,can,v.,能够,动词
L3 进步星,like,v.,喜欢,动词
L3 进步星,want,v.,想要,动词
L3 进步星,have,v.,有,动词
L3 进步星,go,v.,去,动词
L3 进步星,come,v.,来,动词
L3 进步星,eat,v.,吃,动词
L3 进步星,drink,v.,喝,动词
L3 进步星,run,v.,跑,动词
L3 进步星,walk,v.,走,动词
L3 进步星,sit,v.,坐,动词
L3 进步星,stand,v.,站,动词
L3 进步星,open,v.,打开,动词
L3 进步星,close,v.,关闭,动词
L3 进步星,read,v.,读,动词
L3 进步星,write,v.,写,动词
L3 进步星,play,v.,玩,动词
L3 进步星,see,v.,看见,动词
L3 进步星,look,v.,看,动词
L3 进步星,listen,v.,听,动词
L3 进步星,say,v.,说,动词
L3 进步星,make,v.,制作,动词
L3 进步星,give,v.,给,动词
L3 进步星,take,v.,拿,动词
L3 进步星,put,v.,放,动词
L3 进步星,help,v.,帮助,动词
L3 进步星,love,v.,爱,动词
L3 进步星,know,v.,知道,动词
L3 进步星,think,v.,想,动词
L3 进步星,feel,v.,感觉,动词
L3 进步星,need,v.,需要,动词
L3 进步星,find,v.,找到,动词
L3 进步星,get,v.,得到,动词
L3 进步星,draw,v.,画,动词
L3 进步星,sing,v.,唱歌,动词
L3 进步星,dance,v.,跳舞,动词
L3 进步星,swim,v.,游泳,动词
L3 进步星,fly,v.,飞,动词
L3 进步星,jump,v.,跳,动词
L3 进步星,climb,v.,爬,动词
L3 进步星,ride,v.,骑,动词
L3 进步星,cook,v.,做饭,动词
L3 进步星,wash,v.,洗,动词
L3 进步星,clean,v.,打扫,动词
L3 进步星,carry,v.,搬运,动词
L3 进步星,catch,v.,接住,动词
L3 进步星,throw,v.,扔,动词
L3 进步星,cut,v.,切,动词
L3 进步星,build,v.,建造,动词
L3 进步星,buy,v.,买,动词
L3 进步星,sell,v.,卖,动词
L3 进步星,pay,v.,付钱,动词
L3 进步星,cost,v.,花费,动词
L3 进步星,try,v.,尝试,动词
L3 进步星,use,v.,使用,动词
L3 进步星,start,v.,开始,动词
L3 进步星,stop,v.,停止,动词
L3 进步星,turn,v.,转,动词
L3 进步星,fall,v.,落下,动词
L3 进步星,break,v.,打破,动词
L3 进步星,bring,v.,带来,动词
L3 进步星,leave,v.,离开,动词
L3 进步星,live,v.,居住,动词
L3 进步星,work,v.,工作,动词
L3 进步星,learn,v.,学习,动词
L3 进步星,teach,v.,教,动词
L3 进步星,study,v.,学习,动词
L3 进步星,show,v.,展示,动词
L3 进步星,tell,v.,告诉,动词
L3 进步星,ask,v.,问,动词
L3 进步星,answer,v.,回答,动词
L3 进步星,call,v.,打电话,动词
L3 进步星,wait,v.,等待,动词
L3 进步星,sleep,v.,睡觉,动词
L3 进步星,wake,v.,醒来,动词
L3 进步星,wear,v.,穿,动词
L3 进步星,hold,v.,握住,动词
L3 进步星,touch,v.,触摸,动词
L3 进步星,pick,v.,捡起,动词
L3 进步星,choose,v.,选择,动词
L3 进步星,grow,v.,生长,动词
L3 进步星,move,v.,移动,动词
L3 进步星,change,v.,改变,动词
L3 进步星,watch,v.,观看,动词
L3 进步星,speak,v.,说话,动词
L3 进步星,talk,v.,谈话,动词
L3 进步星,laugh,v.,笑,动词
L3 进步星,cry,v.,哭,动词
L3 进步星,smile,v.,微笑,动词
L3 进步星,home,n.,家,地点
L3 进步星,school,n.,学校,地点
L3 进步星,park,n.,公园,地点
L3 进步星,garden,n.,花园,地点
L3 进步星,shop,n.,商店,地点
L3 进步星,hospital,n.,医院,地点
L3 进步星,street,n.,街道,地点
L3 进步星,room,n.,房间,地点
L3 进步星,kitchen,n.,厨房,地点
L3 进步星,bathroom,n.,浴室,地点
L3 进步星,classroom,n.,教室,地点
L3 进步星,playground,n.,操场,地点
L3 进步星,library,n.,图书馆,地点
L3 进步星,restaurant,n.,餐厅,地点
L3 进步星,supermarket,n.,超市,地点
L3 进步星,rain,n.,雨,天气
L3 进步星,snow,n.,雪,天气
L3 进步星,wind,n.,风,天气
L3 进步星,cloud,n.,云,天气
L3 进步星,spring,n.,春天,季节
L3 进步星,summer,n.,夏天,季节
L3 进步星,autumn,n.,秋天,季节
L3 进步星,winter,n.,冬天,季节
L3 进步星,book,n.,书,学习用品
L3 进步星,pen,n.,笔,学习用品
L3 进步星,bag,n.,书包,学习用品
L3 进步星,music,n.,音乐,学科
L3 进步星,art,n.,美术,学科
L3 进步星,math,n.,数学,学科
L3 进步星,science,n.,科学,学科
L3 进步星,sport,n.,运动,学科
L3 进步星,lesson,n.,课程,学科
L3 进步星,homework,n.,作业,学科
L3 进步星,question,n.,问题,学科
L3 进步星,up,adv.,向上,方位
L3 进步星,down,adv.,向下,方位
L3 进步星,front,n.,前面,方位
L3 进步星,left,adj.,左边,方位
L3 进步星,right,adj.,右边,方位
L3 进步星,near,adj.,近的,方位
L3 进步星,far,adj.,远的,方位
L3 进步星,here,adv.,这里,方位
L3 进步星,there,adv.,那里,方位
L3 进步星,morning,n.,早晨,时间
L3 进步星,afternoon,n.,下午,时间
L3 进步星,evening,n.,晚上,时间
L3 进步星,night,n.,夜晚,时间
L3 进步星,today,n.,今天,时间
L3 进步星,tomorrow,n.,明天,时间
L3 进步星,yesterday,n.,昨天,时间
L3 进步星,week,n.,星期,时间
L3 进步星,month,n.,月,时间
L3 进步星,year,n.,年,时间
L3 进步星,time,n.,时间,时间
L3 进步星,clock,n.,时钟,时间
L3 进步星,Monday,n.,星期一,时间
L3 进步星,Tuesday,n.,星期二,时间
L3 进步星,Wednesday,n.,星期三,时间
L3 进步星,Thursday,n.,星期四,时间
L3 进步星,Friday,n.,星期五,时间
L3 进步星,Saturday,n.,星期六,时间
L3 进步星,Sunday,n.,星期日,时间
L3 进步星,January,n.,一月,时间
L3 进步星,February,n.,二月,时间
L3 进步星,sun,n.,太阳,自然
L3 进步星,moon,n.,月亮,自然
L3 进步星,star,n.,星星,自然
L3 进步星,tree,n.,树,自然
L3 进步星,flower,n.,花,自然
L3 进步星,grass,n.,草,自然
L3 进步星,river,n.,河,自然
L3 进步星,mountain,n.,山,自然
L3 进步星,sea,n.,海,自然
L3 进步星,sky,n.,天空,自然
L4 突破星,in,prep.,在...里,介词
L4 突破星,on,prep.,在...上,介词
L4 突破星,under,prep.,在...下,介词
L4 突破星,with,prep.,和...一起,介词
L4 突破星,for,prep.,为了,介词
L4 突破星,from,prep.,从,介词
L4 突破星,about,prep.,关于,介词
L4 突破星,after,prep.,在...之后,介词
L4 突破星,before,prep.,在...之前,介词
L4 突破星,between,prep.,在...之间,介词
L4 突破星,around,prep.,围绕,介词
L4 突破星,through,prep.,穿过,介词
L4 突破星,along,prep.,沿着,介词
L4 突破星,behind,prep.,在...后面,介词
L4 突破星,always,adv.,总是,副词
L4 突破星,usually,adv.,通常,副词
L4 突破星,often,adv.,经常,副词
L4 突破星,sometimes,adv.,有时,副词
L4 突破星,never,adv.,从不,副词
L4 突破星,again,adv.,再次,副词
L4 突破星,also,adv.,也,副词
L4 突破星,too,adv.,也,副词
L4 突破星,very,adv.,非常,副词
L4 突破星,really,adv.,真的,副词
L4 突破星,just,adv.,仅仅,副词
L4 突破星,still,adv.,仍然,副词
L4 突破星,already,adv.,已经,副词
L4 突破星,together,adv.,一起,副词
L4 突破星,only,adv.,只,副词
L4 突破星,maybe,adv.,也许,副词
L4 突破星,early,adv.,早,副词
L4 突破星,late,adv.,晚,副词
L4 突破星,quickly,adv.,快地,副词
L4 突破星,slowly,adv.,慢地,副词
L4 突破星,carefully,adv.,小心地,副词
L4 突破星,well,adv.,好,副词
L4 突破星,now,adv.,现在,副词
L4 突破星,then,adv.,然后,副词
L4 突破星,soon,adv.,很快,副词
L4 突破星,big,adj.,大的,形容词
L4 突破星,small,adj.,小的,形容词
L4 突破星,long,adj.,长的,形容词
L4 突破星,short,adj.,短的,形容词
L4 突破星,new,adj.,新的,形容词
L4 突破星,old,adj.,旧的,形容词
L4 突破星,good,adj.,好的,形容词
L4 突破星,bad,adj.,坏的,形容词
L4 突破星,happy,adj.,开心的,形容词
L4 突破星,sad,adj.,伤心的,形容词
L4 突破星,hot,adj.,热的,形容词
L4 突破星,cold,adj.,冷的,形容词
L4 突破星,beautiful,adj.,美丽的,形容词
L4 突破星,ugly,adj.,丑的,形容词
L4 突破星,tall,adj.,高的,形容词
L4 突破星,fast,adj.,快的,形容词
L4 突破星,slow,adj.,慢的,形容词
L4 突破星,easy,adj.,容易的,形容词
L4 突破星,hard,adj.,困难的,形容词
L4 突破星,young,adj.,年轻的,形容词
L4 突破星,hungry,adj.,饿的,形容词
L4 突破星,thirsty,adj.,渴的,形容词
L4 突破星,tired,adj.,累的,形容词
L4 突破星,angry,adj.,生气的,形容词
L4 突破星,afraid,adj.,害怕的,形容词
L4 突破星,quiet,adj.,安静的,形容词
L4 突破星,loud,adj.,大声的,形容词
L4 突破星,soft,adj.,柔软的,形容词
L4 突破星,heavy,adj.,重的,形容词
L4 突破星,light,adj.,轻的,形容词
L4 突破星,dirty,adj.,脏的,形容词
L4 突破星,wet,adj.,湿的,形容词
L4 突破星,dry,adj.,干的,形容词
L4 突破星,sweet,adj.,甜的,形容词
L4 突破星,sour,adj.,酸的,形容词
L4 突破星,round,adj.,圆的,形容词
L4 突破星,same,adj.,相同的,形容词
L4 突破星,different,adj.,不同的,形容词
L4 突破星,next,adj.,下一个,形容词
L4 突破星,last,adj.,上一个,形容词
L4 突破星,first,adj.,第一,形容词
L4 突破星,best,adj.,最好的,形容词
L4 突破星,important,adj.,重要的,形容词
L4 突破星,possible,adj.,可能的,形容词
L4 突破星,popular,adj.,受欢迎的,形容词
L4 突破星,real,adj.,真实的,形容词
L4 突破星,free,adj.,自由的,形容词
L4 突破星,full,adj.,满的,形容词
L4 突破星,ready,adj.,准备好的,形容词
L4 突破星,sure,adj.,确定的,形容词
L4 突破星,fine,adj.,好的,形容词
L4 突破星,great,adj.,伟大的,形容词
L4 突破星,little,adj.,小的,形容词
L4 突破星,enough,adj.,足够的,形容词
L4 突破星,how,adv.,怎样,疑问词
L4 突破星,why,adv.,为什么,疑问词
L4 突破星,who,pron.,谁,疑问词
L4 突破星,which,pron.,哪个,疑问词
L4 突破星,whose,pron.,谁的,疑问词
L5 自信星,believe,v.,相信,抽象动词
L5 自信星,remember,v.,记住,抽象动词
L5 自信星,forget,v.,忘记,抽象动词
L5 自信星,understand,v.,理解,抽象动词
L5 自信星,agree,v.,同意,抽象动词
L5 自信星,decide,v.,决定,抽象动词
L5 自信星,hope,v.,希望,抽象动词
L5 自信星,plan,v.,计划,抽象动词
L5 自信星,wish,v.,祝愿,抽象动词
L5 自信星,enjoy,v.,享受,抽象动词
L5 自信星,finish,v.,完成,抽象动词
L5 自信星,practice,v.,练习,抽象动词
L5 自信星,imagine,v.,想象,抽象动词
L5 自信星,describe,v.,描述,抽象动词
L5 自信星,explain,v.,解释,抽象动词
L5 自信星,share,v.,分享,抽象动词
L5 自信星,invite,v.,邀请,抽象动词
L5 自信星,visit,v.,拜访,抽象动词
L5 自信星,join,v.,加入,抽象动词
L5 自信星,follow,v.,跟随,抽象动词
L5 自信星,happen,v.,发生,抽象动词
L5 自信星,become,v.,变成,抽象动词
L5 自信星,keep,v.,保持,抽象动词
L5 自信星,seem,v.,似乎,抽象动词
L5 自信星,sound,v.,听起来,抽象动词
L5 自信星,look like,v.,看起来像,抽象动词
L5 自信星,idea,n.,主意,抽象词
L5 自信星,story,n.,故事,抽象词
L5 自信星,game,n.,游戏,抽象词
L5 自信星,party,n.,派对,抽象词
L5 自信星,gift,n.,礼物,抽象词
L5 自信星,door,n.,门,日常物品
L5 自信星,window,n.,窗户,日常物品
L5 自信星,table,n.,桌子,日常物品
L5 自信星,chair,n.,椅子,日常物品
L5 自信星,cup,n.,杯子,日常物品
L5 自信星,bed,n.,床,日常物品
L5 自信星,toy,n.,玩具,日常物品
L5 自信星,ball,n.,球,日常物品
L5 自信星,phone,n.,电话,日常物品
L5 自信星,computer,n.,电脑,日常物品
L5 自信星,TV,n.,电视,日常物品
L5 自信星,camera,n.,相机,日常物品
L5 自信星,key,n.,钥匙,日常物品
L5 自信星,money,n.,钱,日常物品
L5 自信星,map,n.,地图,日常物品
L5 自信星,picture,n.,图片,日常物品
L5 自信星,letter,n.,信,日常物品
L5 自信星,police,n.,警察,职业
L5 自信星,doctor,n.,医生,职业
L5 自信星,teacher,n.,老师,职业
L5 自信星,driver,n.,司机,职业
L5 自信星,farmer,n.,农民,职业
L5 自信星,nurse,n.,护士,职业
L5 自信星,holiday,n.,假日,节日
L5 自信星,birthday,n.,生日,节日
L5 自信星,Christmas,n.,圣诞节,节日
L5 自信星,festival,n.,节日,节日
L5 自信星,present,n.,礼物,节日
L5 自信星,card,n.,卡片,节日
L6 流利星,health,n.,健康,抽象名词
L6 流利星,problem,n.,问题,抽象名词
L6 流利星,trouble,n.,麻烦,抽象名词
L6 流利星,mistake,n.,错误,抽象名词
L6 流利星,reason,n.,原因,抽象名词
L6 流利星,result,n.,结果,抽象名词
L6 流利星,example,n.,例子,抽象名词
L6 流利星,experience,n.,经验,抽象名词
L6 流利星,information,n.,信息,抽象名词
L6 流利星,advice,n.,建议,抽象名词
L6 流利星,opinion,n.,观点,抽象名词
L6 流利星,feeling,n.,感觉,抽象名词
L6 流利星,dream,n.,梦想,抽象名词
L6 流利星,future,n.,未来,抽象名词
L6 流利星,life,n.,生活,抽象名词
L6 流利星,news,n.,新闻,抽象名词
L6 流利星,rule,n.,规则,抽象名词
L6 流利星,team,n.,团队,抽象名词
L6 流利星,group,n.,小组,抽象名词
L6 流利星,class,n.,班级,抽象名词
L6 流利星,grade,n.,年级,抽象名词
L6 流利星,age,n.,年龄,抽象名词
L6 流利星,hobby,n.,爱好,抽象名词
L6 流利星,subject,n.,科目,抽象名词
L6 流利星,and,conj.,和,连词
L6 流利星,but,conj.,但是,连词
L6 流利星,or,conj.,或者,连词
L6 流利星,because,conj.,因为,连词
L6 流利星,if,conj.,如果,连词
L6 流利星,when,conj.,当...时,连词
L6 流利星,where,conj.,在哪里,连词
