序号,类别,英文,中文,适用级别,核心句型
1,日常需求,Can you help me with this?,你能帮我一下吗？,L2,Can you...?
2,日常需求,I need some help here.,我这里需要帮忙。,L2,I need...
3,日常需求,May I have some water?,我可以要点水吗？,L2,May I...?
4,日常需求,I'm hungry now.,我现在饿了。,L1,I'm...
5,日常需求,Can I have a snack?,我可以吃点零食吗？,L2,Can I...?
6,日常需求,I need a pen.,我需要一支笔。,L2,I need...
7,日常需求,Where is my bag?,我的书包在哪？,L2,Where is...?
8,日常需求,I don't know how to do this.,我不知道怎么做这个。,L3,I don't know...
9,日常需求,Can you repeat that?,你能再说一遍吗？,L2,Can you...?
10,日常需求,I need more time.,我需要更多时间。,L3,I need...
11,日常需求,I'm tired.,我累了。,L1,I'm...
12,日常需求,I want to drink milk.,我想喝牛奶。,L1,I want to...
13,日常需求,I'm cold.,我觉得冷。,L1,I'm...
14,日常需求,I'm hot.,我觉得热。,L1,I'm...
15,日常需求,I need help with my homework.,我作业需要帮忙。,L3,I need...
16,日常需求,I don't understand this question.,我不懂这个问题。,L3,I don't...
17,日常需求,Where are my shoes?,我的鞋子在哪？,L2,Where are...?
18,日常需求,I can't find my pencil.,我找不到我的铅笔。,L2,I can't...
19,日常需求,I need to wash my hands.,我需要洗手。,L2,I need to...
20,日常需求,Where is the bathroom?,洗手间在哪里？,L2,Where is...?
21,情绪感受,I'm happy today.,我今天很开心。,L1,I'm...
22,情绪感受,I feel tired.,我觉得累。,L1,I feel...
23,情绪感受,I'm really excited.,我很兴奋。,L2,I'm...
24,情绪感受,I'm a bit scared.,我有点害怕。,L2,I'm...
25,情绪感受,I feel sad.,我觉得难过。,L1,I feel...
26,情绪感受,I'm not feeling well.,我感觉不太舒服。,L2,I'm not...
27,情绪感受,I feel bored.,我觉得无聊。,L2,I feel...
28,情绪感受,I feel nervous.,我有点紧张。,L3,I feel...
29,情绪感受,I'm angry right now.,我现在很生气。,L2,I'm...
30,情绪感受,I feel better now.,我现在好多了。,L2,I feel...
31,情绪感受,I'm worried about it.,我在担心这件事。,L3,I'm...
32,情绪感受,I feel sleepy.,我觉得困了。,L1,I feel...
33,情绪感受,I feel lonely.,我觉得孤单。,L3,I feel...
34,情绪感受,I feel confident.,我很有信心。,L4,I feel...
35,情绪感受,I'm in a good mood.,我心情很好。,L2,I'm...
36,情绪感受,I feel disappointed.,我感到失望。,L4,I feel...
37,情绪感受,I feel relaxed.,我感觉放松。,L3,I feel...
38,情绪感受,I'm glad to hear that.,听到这个我很开心。,L3,I'm...
39,情绪感受,I feel frustrated.,我觉得很沮丧。,L4,I feel...
40,情绪感受,I'm having fun.,我玩得很开心。,L1,I'm...
41,学习作业,I have homework to do.,我有作业要做。,L2,I have...
42,学习作业,I finished my homework.,我完成作业了。,L2,I finished...
43,学习作业,I need help with math.,我需要数学帮助。,L2,I need help with...
44,学习作业,This is too hard for me.,这个对我来说太难了。,L3,This is too...
45,学习作业,I understand now.,我现在明白了。,L2,I understand...
46,学习作业,I don't get this part.,这部分我不懂。,L3,I don't...
47,学习作业,Can you check my answer?,你能帮我检查答案吗？,L2,Can you...?
48,学习作业,I made a mistake.,我做错了。,L2,I made...
49,学习作业,I'll try again.,我会再试一次。,L2,I'll...
50,学习作业,I have a test tomorrow.,我明天有考试。,L3,I have...
51,学习作业,I want to improve my English.,我想提高我的英语。,L3,I want to...
52,学习作业,Can you help me pronounce this?,你能帮我发音吗？,L2,Can you...?
53,学习作业,I'm not ready for the test.,我还没准备好考试。,L3,I'm not...
54,学习作业,I need more practice.,我需要更多练习。,L2,I need...
55,学习作业,I'm stuck on this question.,我卡在这道题了。,L3,I'm...
56,学习作业,I made progress today.,我今天有进步。,L3,I made...
57,学习作业,I want to get better grades.,我想取得更好的成绩。,L3,I want to...
58,学习作业,I'm improving step by step.,我在一点点进步。,L3,I'm...
59,学习作业,I'll finish it soon.,我很快会完成。,L2,I'll...
60,学习作业,I double-checked my answers.,我复查了答案。,L3,I...
61,日常互动,How was your day?,你今天过得怎么样？,L2,How was...?
62,日常互动,What are you doing?,你在做什么？,L2,What are you...?
63,日常互动,Can I talk to you?,我可以跟你说话吗？,L2,Can I...?
64,日常互动,I want to tell you something.,我想告诉你一件事。,L2,I want to...
65,日常互动,I missed you.,我想你了。,L2,I missed...
66,日常互动,What are we having for dinner?,我们晚饭吃什么？,L2,What are we...?
67,日常互动,Can we watch something together?,我们可以一起看点东西吗？,L2,Can we...?
68,日常互动,Can you play with me?,你能陪我玩吗？,L1,Can you...?
69,日常互动,Let's do this together.,我们一起做这个吧。,L2,Let's...
70,日常互动,Do you remember this?,你还记得这个吗？,L3,Do you...?
71,日常互动,What do you think?,你觉得怎么样？,L3,What do you...?
72,日常互动,I agree with you.,我同意你。,L3,I agree...
73,日常互动,That sounds good.,听起来不错。,L2,That sounds...
74,日常互动,I have an idea.,我有个想法。,L2,I have...
75,日常互动,That's interesting.,这很有意思。,L3,That's...
76,日常互动,Tell me more.,再多说一点。,L2,Tell me...
77,日常互动,I'm listening.,我在听。,L2,I'm...
78,日常互动,Let's decide together.,我们一起决定吧。,L3,Let's...
79,日常互动,I like your idea.,我喜欢你的想法。,L2,I like...
80,日常互动,Sounds like a plan.,听起来不错，就这么定。,L3,Sounds like...
81,习惯管理,I'm brushing my teeth.,我在刷牙。,L1,I'm...
82,习惯管理,I'll do it now.,我现在就做。,L2,I'll...
83,习惯管理,I'm going to bed.,我要去睡觉了。,L1,I'm going to...
84,习惯管理,I'll wake up early.,我会早起。,L2,I'll...
85,习惯管理,I need to clean my room.,我需要整理房间。,L2,I need to...
86,习惯管理,I forgot to do it.,我忘了做。,L2,I forgot...
87,习惯管理,I'll try my best.,我会尽力。,L2,I'll...
88,习惯管理,I won't give up.,我不会放弃。,L3,I won't...
89,习惯管理,I'll keep practicing.,我会继续练习。,L2,I'll...
90,习惯管理,I'm getting better at this.,我在这方面越来越好了。,L3,I'm...
91,习惯管理,I'll make a schedule.,我会做计划表。,L3,I'll...
92,习惯管理,I'll stay on task.,我会专注任务。,L3,I'll...
93,习惯管理,I'm doing well.,我做得不错。,L2,I'm...
94,习惯管理,I'll keep it up.,我会继续保持。,L2,I'll...
95,习惯管理,I'm building good habits.,我在培养好习惯。,L3,I'm...
96,外出安全,I'm going out now.,我现在要出门了。,L2,I'm going...
97,外出安全,I'll be back soon.,我很快回来。,L2,I'll...
98,外出安全,Can I go outside?,我可以出去吗？,L2,Can I...?
99,外出安全,Where are we going?,我们去哪里？,L2,Where are we...?
100,外出安全,I'll stay close to you.,我会跟紧你。,L2,I'll...
101,外出安全,I'll be careful.,我会小心。,L2,I'll...
102,外出安全,I'll look both ways.,我会左右看。,L2,I'll...
103,外出安全,I won't run.,我不会跑。,L2,I won't...
104,外出安全,I'll walk slowly.,我会慢慢走。,L2,I'll...
105,外出安全,I'm ready to go.,我准备好了。,L2,I'm...
106,外出安全,Let's leave now.,我们现在出发吧。,L2,Let's...
107,外出安全,I know the direction.,我知道方向。,L3,I know...
108,外出安全,I won't go alone.,我不会单独去。,L2,I won't...
109,外出安全,I won't talk to strangers.,我不会和陌生人说话。,L3,I won't...
110,外出安全,I'll ask for help if needed.,需要的话我会求助。,L3,I'll...
111,请求许可,Can I watch TV?,我可以看电视吗？,L1,Can I...?
112,请求许可,Is it okay if I go out?,我可以出去吗？,L2,Is it okay if...?
113,请求许可,Can I play now?,我现在可以玩吗？,L1,Can I...?
114,请求许可,May I use this?,我可以用这个吗？,L2,May I...?
115,请求许可,Can I stay a bit longer?,我可以多待一会吗？,L2,Can I...?
116,请求许可,Can I join you?,我可以加入吗？,L2,Can I...?
117,请求许可,Can I invite a friend?,我可以邀请朋友吗？,L2,Can I...?
118,请求许可,Can I try this?,我可以试试这个吗？,L2,Can I...?
119,请求许可,Is it my turn?,轮到我了吗？,L2,Is it...?
120,请求许可,Can I choose?,我可以选择吗？,L2,Can I...?
121,请求许可,Can I borrow it?,我可以借吗？,L2,Can I...?
122,请求许可,Can I take a break?,我可以休息一下吗？,L2,Can I...?
123,请求许可,Can I try again?,我可以再试一次吗？,L2,Can I...?
124,请求许可,Can I help?,我可以帮忙吗？,L1,Can I...?
125,请求许可,Can I start now?,我可以开始了吗？,L2,Can I...?
